giniIndex,percentHsEdu,percentBachelorsEdu,medianHouseholdIncome,ueRate,uninsuredRate,medianAge
0.38550001,95.699997,29,77573,3.6124952,2.0999999,41.200001
0.3978,94.199997,42.5,94457,7.2356215,3.2,42.599998
0.36489999,93.599998,34.200001,85368,6.0534592,2.8,44.099998
0.39120001,93.5,30,79705,4.7602859,3.3,38.900002
0.4438,97.699997,80.599998,168065,3.5085268,0.89999998,45.5
0.46309999,98.099998,82.400002,158554,5.9096665,1.1,44.700001
0.51880002,97.699997,80.400002,111642,4.0370889,1.2,36
0.5029,96.599998,84.400002,102342,3.348202,2.4000001,32.700001
0.40130001,95,50.700001,94886,5.2156129,3.2,38.299999
0.4149,92.900002,52.799999,87055,5.5938339,3.5999999,33.299999
0.42829999,87.099998,49.599998,73042,4.174087,4.8000002,32.200001
,100,0,,0.5479452,3.3,20.200001
0.5036,95.599998,70.099998,103978,4.554894,3.7,42.099998
0.4887,99.5,85.5,169963,4.2175918,1.7,42.799999
0.4691,97.300003,73.300003,118148,2.8082809,2.0999999,40
0.41150001,97.699997,84.599998,159517,4.0350022,0.89999998,43.5
0.52579999,97.800003,78.400002,104375,6.1465721,1.2,51.599998
0.4129,94.900002,59.700001,102946,2.7702336,1.1,43.299999
